"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"DESCRIPTION";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PRICE";"PROD_ID";"SF_ID";"VALUE";
"ARDUCAM";"";"M08";"08P";"AMP QUICK CONNECTOR";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";
"C1";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";
"C2";"10uF";"10UF-POLAR-0603-6.3V-20%(TANT)";"0603-POLAR";"10.0µF polarized capacitors";"";"";"";"";"";"";"";"";"";"CAP-13210";"";"10uF";
"C3";"10uF";"10UF-POLAR-0603-6.3V-20%(TANT)";"0603-POLAR";"10.0µF polarized capacitors";"";"";"";"";"";"";"";"";"";"CAP-13210";"";"10uF";
"C4";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";
"C5";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";
"C6";"1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";
"C7";"10uF";"10UF-POLAR-0603-6.3V-20%(TANT)";"0603-POLAR";"10.0µF polarized capacitors";"";"";"";"";"";"";"";"";"";"CAP-13210";"";"10uF";
"C8";"10uF";"10UF-POLAR-0603-6.3V-20%(TANT)";"0603-POLAR";"10.0µF polarized capacitors";"";"";"";"";"";"";"";"";"";"CAP-13210";"";"10uF";
"C9";"2.2nF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";
"C10";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";
"C11";"10nF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";
"C12";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";
"C13";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";
"C14";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";
"C15";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";
"C16";"22uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-11015";"";"10uF";
"C17";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-11015";"";"10uF";
"C18";"0.1uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-11015";"";"10uF";
"C19";"470pF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";
"C20";"22uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-11015";"";"10uF";
"C21";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";
"C22";"470pF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";
"C23";"4.7uF";"0.18UF-0603-10V-10%";"0603";"0.18µF ceramic capacitor";"";"";"";"";"";"";"";"";"";"CAP-12380";"";"0.18uF";
"C24";".22uF";"0.18UF-0603-10V-10%";"0603";"0.18µF ceramic capacitor";"";"";"";"";"";"";"";"";"";"CAP-12380";"";"0.18uF";
"C25";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-11015";"";"10uF";
"C26";"0.1uF";"0.18UF-0603-10V-10%";"0603";"0.18µF ceramic capacitor";"";"";"";"";"";"";"";"";"";"CAP-12380";"";"0.18uF";
